,mouse,day,session,filepath
285,4,28,VR,Teris/FragileX/cohort_202108/data/VR/M4_D28_2021-09-17_11-14-27
286,4,29,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D29_2021-09-20_12-32-55
287,4,29,VR,Teris/FragileX/cohort_202108/data/VR/M4_D29_2021-09-20_11-43-25
288,4,30,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D30_2021-09-21_12-40-51
289,4,30,VR,Teris/FragileX/cohort_202108/data/VR/M4_D30_2021-09-21_11-57-47
290,4,31,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D31_2021-09-22_12-37-43
291,4,31,VR,Teris/FragileX/cohort_202108/data/VR/M4_D31_2021-09-22_11-47-21
292,4,32,openfield,Teris/FragileX/cohort_202108/data/openfield/M4_D32_2021-09-23_12-44-35
293,4,32,VR,Teris/FragileX/cohort_202108/data/VR/M4_D32_2021-09-23_12-00-51
294,4,33,VR,Teris/FragileX/cohort_202108/data/VR/M4_D33_2021-10-06_14-04-43
295,4,34,VR,Teris/FragileX/cohort_202108/data/VR/M4_D34_2021-10-07_11-46-15
296,4,35,VR,Teris/FragileX/cohort_202108/data/VR/M4_D35_2021-10-08_12-41-23
297,4,36,VR,Teris/FragileX/cohort_202108/data/VR/M4_D36_2021-10-11_13-11-31
298,4,37,VR,Teris/FragileX/cohort_202108/data/VR/M4_D37_2021-10-12_12-07-08
299,4,38,VR,Teris/FragileX/cohort_202108/data/VR/M4_D38_2021-10-14_13-14-21
